,0,1,2,5,6,7,8,Body_type,Body_type_id,Skin_condition_level
335,336,1,4,10,20,20,20,round,5,2
336,337,2,4,11,22,22,22,round,5,1
337,338,1,4,10,20,20,21,round,5,1
338,339,1,4,11,22,22,22,round,5,2
339,340,1,5,9,22,23,24,round,5,3
340,341,1,6,9,20,20,20,round,5,3
341,342,2,6,6,19,20,19,round,5,3
342,343,2,6,10,22,21,20,round,5,2
343,344,1,8,9,19,12,9,rectangle,7,2
344,345,2,11,11,20,22,11,rectangle,7,2
345,346,1,12,9,20,22,10,rectangle,7,2
346,347,2,15,15,37,38,42,round,5,3
347,348,1,18,17,44,42,46,round,5,2
348,349,1,14,16,34,20,38,triangle,4,1
349,350,2,20,19,34,37,39,round,5,2
350,351,1,29,19,42,38,44,round,5,2
351,352,1,37,14,33,33,37,round,5,2
352,353,2,49,17,46,48,63,round,5,3
353,354,2,52,17,41,14,45,triangle,4,2
354,355,2,23,16,45,47,62,triangle,4,3
355,356,1,40,14,45,45,46,round,5,3
356,357,1,51,15,37,36,39,round,5,3
357,358,1,65,16,36,39,41,round,5,2
358,359,1,62,20,47,45,44,round,5,3
359,360,1,65,16,36,39,41,round,5,3
360,361,1,46,18,45,43,45,round,5,3
361,362,1,65,16,40,39,40,round,5,1
362,363,1,44,17,42,44,44,round,5,1
363,364,1,40,14,45,45,46,round,5,2
364,365,1,68,17,36,37,37,round,5,2
365,366,1,44,17,43,44,45,round,5,3
366,367,1,37,15,33,33,37,round,5,2
367,368,1,51,15,37,36,39,round,5,3
368,369,1,39,16,35,36,37,round,5,1
369,370,1,51,19,32,35,39,round,5,2
370,371,1,29,17,42,38,44,round,5,3
371,372,1,18,16,44,42,46,round,5,1
372,373,2,18,15,35,38,40,round,5,3
373,374,2,16,20,31,32,32,round,5,3
374,375,2,18,23,32,37,40,round,5,3
375,376,2,24,17,40,41,45,round,5,2
376,377,2,52,9,41,41,45,round,5,1
377,378,2,1,16,20,18,21,round,5,2
378,379,1,14,17,37,20,38,triangle,4,2
379,380,2,49,15,46,48,63,triangle,4,3
380,381,2,15,10,37,38,42,round,5,1
381,382,1,8,9,23,24,26,round,5,1
382,383,1,5,8,22,23,24,round,5,3
383,384,1,1,16,19,18,20,round,5,3
384,385,2,28,16,45,47,62,round,5,2
385,386,2,21,19,43,45,59,round,5,1
386,387,2,20,19,34,37,39,round,5,3
387,388,1,10,12,24,25,12,rectangle,7,2
388,389,1,7,9,13,22,9,rectangle,7,3
389,390,1,7,10,22,22,11,rectangle,7,1
390,391,1,6,9,20,20,10,rectangle,7,2
391,392,1,7,9,11,23,9,rectangle,7,3
392,393,1,12,9,10,22,10,rectangle,7,2
393,394,1,10,9,10,22,12,rectangle,7,2
394,395,1,7,8,11,22,11,rectangle,7,3
395,396,1,6,9,10,23,10,rectangle,7,1
396,397,1,7,11,10,21,10,rectangle,7,1
397,398,1,9,10,23,24,11,rectangle,7,1
398,399,1,6,9,20,20,10,rectangle,7,3
399,400,1,6,9,20,20,10,rectangle,7,3
400,401,1,6,6,20,21,10,round,5,2
401,402,2,6,10,19,20,9,rectangle,7,3
402,403,2,6,10,22,21,10,rectangle,7,3
403,404,2,6,9,20,20,11,rectangle,7,1
404,405,2,6,10,20,20,10,rectangle,7,1
405,406,2,6,12,21,22,11,rectangle,7,2
406,407,2,9,13,24,25,12,rectangle,7,3
407,408,2,7,9,20,22,12,rectangle,7,3
408,409,2,6,9,20,20,10,rectangle,7,3
409,410,2,9,13,21,20,9,invertedtriangle,6,3
410,411,2,10,12,24,24,13,rectangle,7,1
411,412,2,12,11,23,21,11,rectangle,7,3
412,413,2,11,12,20,22,11,rectangle,7,2
413,414,2,10,11,21,20,10,rectangle,7,3
414,415,2,6,11,20,22,10,rectangle,7,2
415,416,1,10,11,21,13,10,rectangle,7,1
416,417,1,11,10,11,12,12,rectangle,7,1
417,418,1,13,13,22,12,11,rectangle,7,3
418,419,1,12,13,21,12,11,rectangle,7,1
419,420,1,14,15,22,13,13,rectangle,7,2
420,421,1,14,14,21,12,11,rectangle,7,2
421,422,1,15,13,20,11,10,rectangle,7,2
422,423,1,10,11,21,13,11,rectangle,7,1
423,424,2,10,12,22,12,12,rectangle,7,2
424,425,1,8,9,19,12,9,rectangle,7,3
425,426,1,9,10,20,13,10,rectangle,7,1
426,427,2,6,10,18,21,22,round,5,1
427,428,1,10,11,24,25,27,round,5,2
428,429,1,8,11,21,22,24,round,5,1
429,430,2,7,10,20,25,24,round,5,3
430,431,2,8,10,22,23,24,round,5,3
431,432,2,8,9,29,23,25,round,5,1
432,433,1,9,11,24,24,25,round,5,3
433,434,1,8,11,23,26,25,round,5,2
434,435,1,8,9,20,12,24,triangle,4,2
435,436,2,10,10,26,26,28,round,5,3
436,437,2,8,9,20,23,23,round,5,3
437,438,2,10,10,25,27,26,round,5,3
438,439,2,8,10,22,23,26,round,5,3
439,440,2,13,14,24,27,28,round,5,3
440,441,2,11,11,22,23,23,round,5,1
441,442,2,13,14,24,27,28,round,5,1
442,443,2,11,12,23,25,26,round,5,3
443,444,1,4,10,20,20,20,round,5,3
444,445,1,11,12,22,24,25,round,5,2
445,446,2,12,12,24,26,28,round,5,1
446,447,2,4,10,20,20,20,round,5,2
447,448,1,11,11,22,23,23,round,5,2
448,449,2,8,12,24,26,11,rectangle,7,3
449,450,1,15,14,27,28,23,round,5,3
450,451,1,8,10,18,21,22,round,5,1
451,452,2,10,10,25,27,26,round,5,3
452,453,2,10,11,21,23,11,rectangle,7,1
453,454,2,7,10,20,25,24,round,5,3
454,455,1,11,13,24,25,27,round,5,2
455,456,2,9,13,22,10,12,rectangle,7,2
456,457,1,6,11,20,11,13,rectangle,7,3
457,458,1,6,12,22,9,12,rectangle,7,1
458,459,1,7,11,20,10,14,rectangle,7,1
459,460,2,7,13,21,11,11,rectangle,7,3
460,461,1,9,12,19,9,11,rectangle,7,1
461,462,2,8,13,19,10,14,rectangle,7,3
462,463,1,10,17,23,11,14,rectangle,7,1
463,464,1,9,12,21,12,13,rectangle,7,1
464,465,2,9,12,20,10,14,rectangle,7,3
465,466,1,12,12,21,12,13,rectangle,7,2
466,467,1,9,13,21,12,13,rectangle,7,2
467,468,1,7,13,22,12,11,rectangle,7,2
468,469,1,8,12,19,10,11,rectangle,7,1
469,470,1,5,12,19,10,12,rectangle,7,1
470,471,1,5,11,20,11,10,rectangle,7,1
471,472,2,12,10,17,6,9,rectangle,7,1
472,473,2,8,11,21,11,14,rectangle,7,3
473,474,1,10,17,23,11,17,rectangle,7,2
474,475,1,5,11,20,11,15,round,5,2
475,476,2,10,15,21,12,13,rectangle,7,2
476,477,2,12,14,21,12,25,triangle,4,1
477,478,2,13,16,21,14,14,rectangle,7,2
478,479,2,12,14,21,11,14,rectangle,7,1
479,480,2,9,12,21,12,11,rectangle,7,2
480,481,2,6,12,20,10,10,rectangle,7,2
481,482,1,3,11,19,7,13,rectangle,7,3
482,483,2,13,14,23,13,15,rectangle,7,1
483,484,2,13,15,24,12,15,rectangle,7,3
484,485,2,18,13,24,26,11,rectangle,7,2
485,486,1,11,13,23,23,13,rectangle,7,3
486,487,1,9,11,21,22,11,rectangle,7,1
487,488,2,10,13,23,24,24,round,5,3
488,489,2,10,11,21,23,11,rectangle,7,3
489,490,2,13,14,24,27,28,round,5,2
490,491,1,10,13,23,24,24,round,5,2
491,492,2,7,10,20,25,24,round,5,2
492,493,2,11,12,23,25,26,round,5,3
493,494,2,18,13,24,26,11,rectangle,7,1
494,495,2,9,11,21,22,11,rectangle,7,3
495,496,2,4,10,20,20,20,round,5,1
496,497,2,10,11,21,23,27,round,5,2
497,498,1,11,22,23,23,27,round,5,2
498,499,2,10,11,21,25,11,rectangle,7,3
499,500,2,11,12,23,25,26,round,5,1
500,501,2,7,10,20,18,24,round,5,3
501,502,1,6,10,10,23,21,round,5,3
502,503,1,10,11,21,18,11,rectangle,7,2
503,504,1,8,10,20,24,20,round,5,2
504,505,2,10,13,23,27,22,round,5,3
505,506,2,13,14,24,25,28,round,5,2
506,507,1,8,10,21,21,25,round,5,2
507,508,1,8,11,21,22,24,round,5,2
508,509,2,9,11,21,12,11,rectangle,7,1
509,510,1,8,11,20,27,24,round,5,3
510,511,2,13,19,24,25,28,round,5,3
511,512,1,11,14,24,23,27,round,5,3
512,513,2,11,13,22,23,27,round,5,1
513,514,2,8,11,20,23,23,round,5,1
514,515,2,11,12,22,24,24,round,5,1
515,516,2,10,13,21,22,24,round,5,2
516,517,2,8,12,21,21,23,round,5,3
517,518,2,8,15,20,23,26,round,5,1
518,519,2,4,10,20,20,20,round,5,3
519,520,2,9,11,24,24,25,round,5,1
520,521,1,4,10,20,20,20,round,5,2
521,522,1,11,13,24,25,27,round,5,2
522,523,1,2,10,20,25,24,round,5,1
523,524,2,10,10,25,27,26,round,5,3
524,525,1,11,12,23,20,25,round,5,2
525,526,1,13,15,22,20,26,round,5,2
526,527,1,9,11,20,23,22,round,5,3
527,528,2,10,15,20,23,27,round,5,3
528,529,2,13,11,24,21,23,round,5,2
529,530,2,12,12,27,22,24,round,5,1
530,531,1,9,11,21,22,11,rectangle,7,2
531,532,1,11,11,24,25,20,round,5,1
532,533,2,9,11,20,23,12,rectangle,7,2
533,534,1,8,10,24,24,11,rectangle,7,3
534,535,2,6,10,10,18,21,round,5,3
535,536,1,11,12,20,16,20,round,5,2
536,537,,9,11,21,24,11,rectangle,7,3
537,538,2,12,12,24,26,28,round,5,3
538,539,2,11,13,21,22,15,rectangle,7,1
539,540,1,8,10,18,21,22,round,5,1
540,541,2,7,10,20,25,24,round,5,2
541,542,1,8,9,20,12,24,triangle,4,2
542,543,1,6,19,19,23,23,round,5,1
543,544,1,5,9,18,21,21,round,5,2
544,545,2,4,11,22,22,22,round,5,2
545,546,2,5,10,20,21,23,round,5,1
546,547,2,6,10,21,21,20,round,5,1
547,548,1,6,11,22,22,21,round,5,1
548,549,2,7,11,20,22,23,round,5,3
549,550,2,6,11,21,22,24,round,5,1
550,551,1,4,10,20,20,21,round,5,1
551,552,2,12,14,26,29,31,round,5,1
552,553,2,5,11,22,22,22,round,5,1
553,554,2,13,12,24,20,31,triangle,4,3
554,555,2,14,13,23,24,26,round,5,2
555,556,1,11,11,21,24,25,round,5,1
556,557,2,12,11,24,20,28,triangle,4,1
557,558,2,9,11,21,24,25,round,5,2
558,559,2,5,10,21,22,24,round,5,3
559,560,2,12,11,23,25,28,round,5,3
560,561,1,7,11,22,24,26,round,5,3
561,562,1,6,11,22,24,24,round,5,1
562,563,2,13,12,24,27,30,round,5,3
563,564,2,11,11,23,24,26,round,5,3
564,565,2,11,11,22,25,27,round,5,3
565,566,1,4,11,22,22,22,round,5,1
566,567,2,11,14,23,22,11,rectangle,7,3
567,568,2,13,11,22,21,26,round,5,3
568,569,2,15,23,22,11,16,tophourglass,3,2
569,570,2,13,12,24,27,30,round,5,3
570,571,2,11,11,22,25,29,round,5,3
571,572,2,9,12,21,20,13,rectangle,7,3
572,573,2,8,13,20,21,14,rectangle,7,2
573,574,2,9,13,19,13,14,rectangle,7,2
574,575,2,9,13,22,12,14,rectangle,7,2
575,576,2,8,12,20,12,12,rectangle,7,1
576,577,1,4,12,21,11,11,rectangle,7,3
